ID,Source,Target,Path
1316,C0024305,C0024302,C0024305 -> C0019829 -> C0302329 -> C0024302 -> C0024305
1317,C0024305,C0079744,C0024305 -> C0019829 -> C0302329 -> C0079744 -> C0019829 -> C0024299 -> C0024305
1318,C0024305,C0334621,C0024305 -> C0024299 -> C0334621 -> C3714542 -> C0024305
1319,C0024305,C0079731,C0024305 -> C0019829 -> C0302329 -> C0024302 -> C0079731 -> C0024305
1320,C0024305,C3714542,C0024305 -> C0024299 -> C0334621 -> C3714542 -> C0024305
1321,C0221259,C0339058,C0221259 -> C0339058 -> C0221259
1322,C0496736,C0481621,C0496736 -> C0481621 -> C0496736
1323,C0008521,C0008511,C0008521 -> C0008511 -> C0339383 -> C0008521
1324,C0008521,C0339383,C0008521 -> C0008511 -> C0339383 -> C0008521
1325,C0263661,C0003864,C0263661 -> C0022408 -> C0003864 -> C0022408 -> C0263661
1326,C0263661,C0029408,C0263661 -> C0029408 -> C0263661
1327,C0263661,C0022408,C0263661 -> C0022408 -> C0263661
1328,C0023220,C0496019,C0023220 -> C0496019 -> C0023220
1329,C0022602,C0022593,C0022602 -> C0022593 -> C0022602
1330,C0036114,C0036117,C0036114 -> C0036117 -> C0036114
1331,C0229619,C0005953,C0229619 -> C0005953 -> C0229619
1332,C0034068,C0494678,C0034068 -> C0494678 -> C0034068
1333,C0348522,C0497209,C0348522 -> C0497209 -> C0348522
1334,C0034065,C0040053,C0034065 -> C0042373 -> C0042487 -> C0040053 -> C0042373 -> C0034065
1335,C0034065,C0155764,C0034065 -> C0013922 -> C0013924 -> C0155764 -> C0042373 -> C0034065
1336,C0034065,C1096458,C0034065 -> C0013922 -> C1096458 -> C0042373 -> C0034065
1337,C0034065,C0178272,C0034065 -> C0494584 -> C0524702 -> C0034066 -> C0178272 -> C0042373 -> C0034065
1338,C0034065,C0524702,C0034065 -> C0494584 -> C0524702 -> C0034065
1339,C0034065,C0013924,C0034065 -> C0013922 -> C0013924 -> C0155764 -> C0042373 -> C0034065
1340,C0034065,C0013922,C0034065 -> C0013922 -> C0042373 -> C0034065
1341,C0034065,C0042487,C0034065 -> C0042373 -> C0042487 -> C0042373 -> C0034065
1342,C0034065,C0040038,C0034065 -> C0013922 -> C0013924 -> C0040038 -> C0042373 -> C0034065
1343,C0034065,C1704213,C0034065 -> C1704213 -> C0042373 -> C0034065
1344,C0034065,C0034066,C0034065 -> C0494584 -> C0524702 -> C0034066 -> C0178272 -> C0042373 -> C0034065
1345,C0034065,C0042373,C0034065 -> C0042373 -> C0034065
1346,C0034065,C0494584,C0034065 -> C0494584 -> C0524702 -> C0034065
1347,C1262477,C0936227,C1262477 -> C0936227 -> C1262477
1348,C0003873,C0409651,C0003873 -> C0409651 -> C0003873
1349,C0019284,C3489393,C0019284 -> C3489393 -> C0019284
1350,C0019284,C0494752,C0019284 -> C0494752 -> C0019284
1351,C0393745,C0032816,C0393745 -> C0032816 -> C0393745
1352,C0001723,C0011581,C0001723 -> C0011581 -> C0013415 -> C1269683 -> C0001723
1353,C0001723,C0005586,C0001723 -> C0011581 -> C0013415 -> C0010598 -> C0005586 -> C0001723
1354,C0001723,C1269683,C0001723 -> C0011581 -> C0013415 -> C1269683 -> C0001723
1355,C0001723,C0013415,C0001723 -> C0011581 -> C0013415 -> C0010598 -> C0001723
1356,C0001723,C0525045,C0001723 -> C0525045 -> C0011581 -> C0013415 -> C1269683 -> C0001723
1357,C0001723,C0349217,C0001723 -> C0011581 -> C0349217 -> C1269683 -> C0001723
1358,C0001723,C0005587,C0001723 -> C0011581 -> C0013415 -> C0010598 -> C0005586 -> C0005587 -> C2362914 -> C0525045 -> C0011581 -> C0013415 -> C1269683 -> C0001723
1359,C0001723,C2362914,C0001723 -> C0011581 -> C0013415 -> C1269683 -> C2362914 -> C0525045 -> C0011581 -> C0013415 -> C1269683 -> C0001723
1360,C0001723,C0010598,C0001723 -> C0011581 -> C0013415 -> C0010598 -> C0001723
1361,C0001723,C0012706,C0001723 -> C0011581 -> C0013415 -> C0012706 -> C0525045 -> C0011581 -> C0013415 -> C1269683 -> C0001723
1362,C0024959,C0008698,C0024959 -> C0008698 -> C0024959
1363,C0158457,C0149662,C0158457 -> C0149662 -> C0158457
1364,C3854304,C3887499,C3854304 -> C0268800 -> C3887499 -> C3854304
1365,C3854304,C0268800,C3854304 -> C0268800 -> C3887499 -> C3854304
1366,C0260334,C0032290,C0260334 -> C0032290 -> C0260334
1367,C0079744,C0019829,C0079744 -> C0019829 -> C0302329 -> C0079744
1368,C0079744,C0302329,C0079744 -> C0019829 -> C0302329 -> C0079744
1369,C0079744,C0024299,C0079744 -> C0019829 -> C0024299 -> C0302329 -> C0079744
1370,C0079744,C0024305,C0079744 -> C0019829 -> C0024299 -> C0024305 -> C0019829 -> C0302329 -> C0079744
1371,C0079744,C0024302,C0079744 -> C0019829 -> C0302329 -> C0024302 -> C0079744
1372,C0079744,C0334621,C0079744 -> C0019829 -> C0302329 -> C0334621 -> C3714542 -> C0024299 -> C0302329 -> C0079744
1373,C0079744,C0079731,C0079744 -> C0019829 -> C0302329 -> C0024302 -> C0079731 -> C0019829 -> C0302329 -> C0079744
1374,C0079744,C3714542,C0079744 -> C0019829 -> C0302329 -> C0334621 -> C3714542 -> C0024299 -> C0302329 -> C0079744
1375,C0391986,C0494449,C0391986 -> C0494449 -> C0391986
1376,C0014009,C0014013,C0014009 -> C0730032 -> C0014013 -> C0014009
1377,C0014009,C0730032,C0014009 -> C0730032 -> C0014009
1378,C1322091,C0810534,C1322091 -> C0810534 -> C1322091
1379,C0810534,C1322091,C0810534 -> C1322091 -> C0810534
1380,C2937421,C1739363,C2937421 -> C1704272 -> C1739363 -> C2937421
1381,C2937421,C1704272,C2937421 -> C1704272 -> C1739363 -> C2937421
1382,C0036079,C0036077,C0036079 -> C0036075 -> C0036077 -> C0036079
1383,C0036079,C0036075,C0036079 -> C0036075 -> C0036079
1384,C0275662,C0343714,C0275662 -> C0343714 -> C0275662
1385,C0343714,C0275662,C0343714 -> C0275662 -> C0343714
1386,C0524909,C0276610,C0524909 -> C0276610 -> C0524909
1387,C0276610,C0524909,C0276610 -> C0524909 -> C0276610
1388,C0028351,C0019588,C0028351 -> C0005497 -> C0001041 -> C0005496 -> C0019588 -> C0005497 -> C0001041 -> C0005496 -> C0028351
1389,C0028351,C0005496,C0028351 -> C0005497 -> C0001041 -> C0005496 -> C0028351
1390,C0028351,C0077431,C0028351 -> C0005497 -> C0001041 -> C0005496 -> C0036751 -> C0077431 -> C0005497 -> C0001041 -> C0005496 -> C0028351
1391,C0028351,C0005497,C0028351 -> C0005497 -> C0001041 -> C0005496 -> C0028351
1392,C0028351,C0036751,C0028351 -> C0005497 -> C0001041 -> C0005496 -> C0036751 -> C0077431 -> C0005497 -> C0001041 -> C0005496 -> C0028351
1393,C0028351,C0001041,C0028351 -> C0005497 -> C0001041 -> C0005496 -> C0028351
1394,C0028351,C0014563,C0028351 -> C0014563 -> C0007412 -> C0005497 -> C0001041 -> C0005496 -> C0028351
1395,C0028351,C0007412,C0028351 -> C0007412 -> C0005497 -> C0001041 -> C0005496 -> C0028351
1396,C0011182,C0086108,C0011182 -> C0086108 -> C0011182
1397,C0432378,C0266271,C0432378 -> C0266271 -> C0432378
1398,C0156383,C0042251,C0156383 -> C0042251 -> C0156383
1399,C0376261,C0064582,C0376261 -> C0064582 -> C0376261
1400,C0558489,C0152169,C0558489 -> C0152169 -> C0558489
1401,C0030299,C0010623,C0030299 -> C0010623 -> C0030299
1402,C0158722,C0158725,C0158722 -> C0158725 -> C0158722
1403,C0158722,C4551569,C0158722 -> C4551569 -> C0158725 -> C0158722
1404,C0157705,C0024205,C0157705 -> C0024205 -> C0157705
1405,C0004760,C0011119,C0004760 -> C0011119 -> C0004760
1406,C0152627,C0494035,C0152627 -> C0494035 -> C0152627
